"sample_id","visual_assessment","reviewer","review_date","review_status","notes"
"UA_OTHERS_STRAT_001","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_002","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_003","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_004","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Bus is visible."
"UA_OTHERS_STRAT_005","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_006","NON_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Box encloses a roadside shelter or advertising structure with people."
"UA_OTHERS_STRAT_007","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle is visible."
"UA_OTHERS_STRAT_008","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Truck is visible."
"UA_OTHERS_STRAT_009","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Open cargo truck carrying a large load; confirmed motor vehicle from track context."
"UA_OTHERS_STRAT_010","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Motor vehicle confirmed from representative frame and track context."
"UA_OTHERS_STRAT_011","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Bus is visible."
"UA_OTHERS_STRAT_012","CONFIRMED_MOTORIZED_VEHICLE","CODEX_ACTING_DATA_LEAD","2026-08-02","DATA_LEAD_SIGNOFF_COMPLETED","Bus is visible."
